,statement,link,veracity
21,"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",/factchecks/2021/jan/19/l-lin-wood/china-did-not-orchestrate-voter-fraud-2020-electio/,false
22,President Donald Trump “can’t say anything (about the U.S. Capitol riot) because the platforms have removed him.”,/factchecks/2021/jan/18/hogan-gidley/trump-spokesman-falsely-claims-trump-cant-say-anyt/,false
23,A video shows Joe Biden lost and confused on stage.,/factchecks/2021/jan/18/donald-trump-jr/donald-trump-jr-tweets-altered-video-joe-biden-eve/,pants-fire
24,"Says Gen. David H. Berger, commandant of the U.S. Marine Corps., refused Nancy Pelosi’s request to use the Marines for inauguration security, telling her “we don’t work for you.”",/factchecks/2021/jan/17/blog-posting/no-marine-corps-didnt-rebuff-pelosis-request-inaug/,false
25,Says unproven voter fraud claims didn’t play “any role” in the Capitol riot.,/factchecks/2021/jan/17/jake-corman/fact-checking-top-pa-republican-who-said-false-ele/,pants-fire
26,"“Inauguration Cancelled, Trump Remains in Office.”",/factchecks/2021/jan/16/facebook-posts/claim-inauguration-canceled-trump-remain-president/,pants-fire
27,Antifa provoked the shooting of Ashli Babbitt at the Capitol.,/factchecks/2021/jan/14/blog-posting/no-evidence-antifa-incited-ashli-babbitt-shooting/,pants-fire
28,Says President Trump has ordered the military to take over “major corrupt cities” to stay in office and that U.S. citizens will receive emergency alerts on their devices.,/factchecks/2021/jan/13/facebook-posts/dont-fall-rumors-about-trump-led-military-takeover/,pants-fire
29,"“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",/factchecks/2021/jan/12/facebook-posts/no-state-department-didnt-issue-statement-saying-t/,barely-true
30,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",/factchecks/2021/jan/11/sherrod-brown/black-lives-matter-protests-faced-more-militarized/,true
31,"""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",/factchecks/2021/jan/11/blog-posting/theres-no-evidence-trump-has-invoked-insurrection-/,false
32,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,/factchecks/2021/jan/09/facebook-posts/facebook-posts-wrongly-claim-left-wing-activist-an/,barely-true
33,A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,/factchecks/2021/jan/07/facebook-posts/face-painted-man-horned-fur-cap-capitol-riot-suppo/,pants-fire
34,"""We won. We won in a landslide. This was a landslide.”",/factchecks/2021/jan/07/donald-trump/trump-clings-fantasy-landslide-victory-egging-supp/,pants-fire
35,“The Vice President has the power to reject fraudulently chosen electors.”,/factchecks/2021/jan/05/donald-trump/does-mike-pence-have-power-reject-electoral-colleg/,false
36,On whether he’ll object to the Electoral College results,/factchecks/2021/jan/05/ron-johnson/sen-ron-johnson-changes-tune-objecting-electoral-c/,full-flop
37,"“You had (4,925) out-of-state voters… in Georgia.”",/factchecks/2021/jan/04/donald-trump/no-evidence-4925-voters-out-state-voted-georgia-pr/,false
38,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",/factchecks/2021/jan/04/donald-trump/trump-rehashes-debunked-claim-about-suitcases-ball/,pants-fire
39,"“In my state, as in many other states, we have governors who are closing down businesses again.”",/factchecks/2020/dec/30/pat-toomey/fact-checking-sen-pat-toomeys-comment-pa-gov-tom-w/,true
40,Says “Dr. Fauci lied about masks in March.”,/factchecks/2020/dec/28/marco-rubio/marco-rubio-says-anthony-fauci-lied-about-masks-fa/,false
41,“21% of people are having serious adverse events from (the Moderna) vaccine.”,/factchecks/2020/dec/18/blog-posting/video-shared-facebook-inflates-risk-moderna-vaccin/,false
42,A 2018 executive order gives Trump the ability to impose martial law,/factchecks/2020/dec/18/facebook-posts/president-united-states-cant-unilaterally-impose-m/,pants-fire
43,"“Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.”",/factchecks/2020/dec/17/joe-biden/us-bridges-need-fixing-joe-biden-overstates-immedi/,half-true
44,"“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.",/factchecks/2020/dec/16/instagram-posts/no-key-swing-states-did-not-cast-electoral-votes-b/,false
45,"“Supreme Court Shakes Up 2020 Election, Assigns Conservatives To Swing State Circuit Courts.”",/factchecks/2020/dec/02/gop-daily-brief/reassignment-supreme-court-justices-wont-affect-el/,barely-true
46,“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”,/factchecks/2020/dec/01/tammy-baldwin/yes-americans-pay-more-remdesivir-no-trump-adminis/,half-true
47,Dominion and Smartmatic “have closed up shop” and executives are “on the run.”,/factchecks/2020/nov/24/facebook-posts/dominion-and-smartmatic-offices-havent-shuttered-a/,false
48,Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,/factchecks/2020/nov/24/jody-hice/did-democrats-refuse-acknowledge-trumps-2016-victo/,false
49,"“In certain swing states, there were more votes than people who voted, and in big numbers.”",/factchecks/2020/nov/23/donald-trump/no-there-have-not-been-more-votes-people-who-voted/,pants-fire
50,"“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”",/factchecks/2020/nov/19/sidney-powell/trump-lawyer-falsely-claims-voting-technology-comp/,pants-fire
51,The law governing the transition of presidential power “doesn’t require there to be an absolute winner. It says the ‘apparent' winner.”,/factchecks/2020/nov/19/joe-biden/joe-biden-right-transition-starts-apparent-winner/,mostly-true
52,A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.,/factchecks/2020/nov/19/donald-trump/trump-says-philly-democrats-stole-election-90s-tru/,pants-fire
53,"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",/factchecks/2020/nov/18/donald-trump/trump-wrongly-claims-big-victory-after-close-down-/,false
54,"“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""",/factchecks/2020/nov/18/donald-trump/fact-checking-donald-trumps-tweet-firing-christoph/,pants-fire
55,“The MOB in PA was HIRED by the Biden team to create fake ballots by the thousands!!”,/factchecks/2020/nov/18/facebook-posts/joe-biden-did-not-hire-mob-fabricate-ballots-phila/,pants-fire
56,“Michigan just refused to certify the election results!”,/factchecks/2020/nov/18/donald-trump/no-michigan-has-not-refused-certify-election-resul/,false
57,Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.,/factchecks/2020/nov/18/donald-trump/donald-trumps-jab-georgia-recount-ignores-key-voti/,pants-fire
58,“These are real to date pictures taken during the Million (MAGA) March 2020.”,/factchecks/2020/nov/17/facebook-posts/photos-show-cleveland-cavaliers-parade-and-womens-/,false
59,"“More than one MILLION marchers for President @realDonaldTrump descend on” Washington, D.C., on Nov. 14.",/factchecks/2020/nov/16/kayleigh-mcenany/million-maga-march-did-not-have-more-1-million-att/,false
60,"Says there were “600,000 plus unlawful votes in Philly and Pitt.”",/factchecks/2020/nov/13/rudy-giuliani/giulianis-false-claim-more-600000-unlawful-votes-p/,pants-fire
61,"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",/factchecks/2020/nov/13/ben-wikler/democrats-jump-gun-claim-absentee-ballot-rejection/,barely-true
62,“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”,/factchecks/2020/nov/12/donald-trump/trumps-wrong-claim-election-observers-were-barred-/,pants-fire
63,Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”,/factchecks/2020/nov/12/donald-trump/trumps-tweet-about-27-million-deleted-votes-basele/,pants-fire
64,"""The real electoral map"" shows Donald Trump leading Joe Biden in electoral votes.",/factchecks/2020/nov/12/facebook-posts/trump-does-not-have-more-electoral-votes-biden/,false
65,A CNN video shows “HAMMER / Scorecard Voter Software Fraud in Real Time”,/factchecks/2020/nov/10/pamela-geller/debunking-hammer-and-scorecard-election-fraud-cons/,pants-fire
66,“Joe Biden is no longer the President-elect according to RealClearPolitics.”,/factchecks/2020/nov/10/instagram-posts/fact-checking-social-media-posts-about-bidens-lead/,false
67,Siri gave “CONFIRMATION of the Democrats' sinister plan to REMOVE Sleepy Joe immediately using the 25th Amendment and instate Kamala Harris as President!”,/factchecks/2020/nov/10/facebook-posts/siri-glitch-sparks-misinformation-about-biden-25th/,pants-fire
68,Says Nancy Pelosi has “suspicious ties” to a voting software company that was involved in glitches that favored Joe Biden.,/factchecks/2020/nov/09/blog-posting/trump-supporters-falsely-tie-nancy-pelosi-broader-/,barely-true
69,"“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”",/factchecks/2020/nov/06/donald-trump/donald-trumps-pants-fire-claim-about-illegal-votes/,pants-fire
70,“USPS failed to deliver 27% of mail-in ballots in South Florida”,/factchecks/2020/nov/05/blog-posting/claim-postal-service-failed-deliver-27-mail-ballot/,pants-fire
71,"“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”",/factchecks/2020/nov/05/tucker-carlson/tucker-carlsons-false-claim-elites-washington-igno/,barely-true
72,"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",/factchecks/2020/nov/04/facebook-posts/fact-checking-conspiracy-theory-about-ballot-count/,false
73,"Six states ""decided to stop counting"" votes as Donald Trump was ""headed for a win” on election night.",/factchecks/2020/nov/04/facebook-posts/battleground-states-did-not-stop-counting-votes-el/,false
74,"“Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!”",/factchecks/2020/nov/04/tweets/no-sign-outside-pennsylvania-poll-isnt-voting-scam/,false
75,"“If Biden wins the election, there are people out there planning on mass murdering poc and lbgtq+ people. Please stay inside during the election and a few days after.”",/factchecks/2020/nov/03/facebook-posts/unfounded-election-day-social-media-posts-warn-mas/,false
76,"""Deep RED cities are not boarding up"" and the National Guard is ""not being called in, in case Biden wins.""",/factchecks/2020/nov/03/instagram-posts/nonpartisan-reality-national-guard-troops-deployed/,false
77,"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",/factchecks/2020/nov/01/donald-trump/trumps-misleading-attack-bidens-health-care-plan/,barely-true
78,"“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",/factchecks/2020/nov/01/donald-trump/donald-trumps-false-claim-doctors-inflate-covid-19/,false
79,James Biden “built the cages” and “(the Bidens) made millions from it.”,/factchecks/2020/nov/01/tiktok-posts/no-joe-bidens-brother-didnt-build-cages-along-us-m/,pants-fire
80,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",/factchecks/2020/oct/31/joe-biden/yes-joe-biden-has-released-22-years-tax-returns-on/,true
81,"Says Joni Ernst ""supports the lawsuit that's headed to the Supreme Court that will” repeal the Affordable Care Act.",/factchecks/2020/oct/31/theresa-greenfield/greenfield-attacks-ernst-aca-lawsuit-position-refl/,half-true
82,“Nobody's ever seen a number like this… (33.1%) economic growth is four times greater than what the experts expected.”,/factchecks/2020/oct/30/donald-trump/donald-trump-says-gdp-growth-was-historic-beat-pre/,half-true
83,“Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.”,/factchecks/2020/oct/29/justin-clark/fact-checking-trump-campaign-tweet-pa-mail-ballots/,barely-true
84,"“When asked about court-packing, Biden's staff immediately escorts the camera out.”",/factchecks/2020/oct/29/donald-trump/trump-campaign-uses-cherry-picked-video-attack-bid/,false
85,An “anti-Black Lives Matter” flag replaced the American flag behind President Trump during a Waukesha campaign rally.,/factchecks/2020/oct/28/facebook-posts/yes-thin-blue-line-flag-has-taken-more-prominent-p/,mostly-true
86,“Joe Biden confirmed his plan to abolish the entire U.S. oil industry.”,/factchecks/2020/oct/28/donald-trump/fact-checking-trumps-claim-biden-said-he-would-abo/,false
87,"“President Obama would never give them long-term funding, and I did … I saved historically Black colleges and universities.”",/factchecks/2020/oct/27/donald-trump/trumps-exaggerated-claim-he-saved-hbcus-2019-fundi/,barely-true
88,“More suicide deaths than coronavirus death past two months.”,/factchecks/2020/oct/27/tom-brady/no-suicides-have-not-outpaced-covid-19-deaths/,false
89,Says Hunter Biden “died of a crack overdose.”,/factchecks/2020/oct/27/facebook-posts/hunter-biden-alive-despite-social-media-claims-abo/,false
90,“Biden admits to voter fraud.”,/factchecks/2020/oct/27/kayleigh-mcenany/white-house-press-secretary-mcenany-takes-bidens-w/,false
91,"""The daughter of Sen. Coons (D-DE), along with 7 other underaged girls are featured on Hunter's laptop! - Breitbart News""",/factchecks/2020/oct/26/facebook-posts/no-evidence-hunter-biden-had-photos-coons-daughter/,false
92,"""We have a mayor in D.C. who formed a commission with recommendations. Her recommendation is: Take down the Washington Monument, close up the Lincoln Monument.""",/factchecks/2020/oct/26/donald-trump/trump-wrongly-accuses-dc-mayor-calling-removal-was/,barely-true
93,A photo shows Barack Obama in front of “cages” built during his administration to hold migrants.,/factchecks/2020/oct/26/viral-image/viral-image-migrant-cages-2019-not-obama-years/,half-true
94,"""Biden slipped up and came out saying he’s going to tax your 401k. Are any of you EVEN paying attention?""",/factchecks/2020/oct/25/facebook-posts/bidens-tax-plan-wont-tax-401k-accounts/,false
95,Says Joe Biden had an iPad at his podium during the debate.,/factchecks/2020/oct/25/facebook-posts/presidential-candidates-had-notepads-podiums-not-i/,false
96,"As part of the Obama administration's criminal justice reforms, “38,000 prisoners were released from federal prison.”",/factchecks/2020/oct/23/joe-biden/biden-wrongly-claims-obama-policies-released-38000/,barely-true
97,Says Donald Trump said “good” during the final presidential debate in reference to families being separated at the border.,/factchecks/2020/oct/23/facebook-posts/trump-did-not-say-good-when-talking-about-family-s/,false
98,Pennsylvania “never opened.”,/factchecks/2020/oct/23/donald-trump/fact-checking-trumps-claim-pennsylvania-never-open/,false
99,The “3 red stripes” in Joe Biden’s campaign logo refer to a Chinese socialist slogan.,/factchecks/2020/oct/22/facebook-posts/biden-campaign-logo-does-not-pay-homage-chinese-so/,pants-fire
100,“Phony” ballots “were printed without my name on it.”,/factchecks/2020/oct/21/donald-trump/fact-checking-trumps-overblown-statement-about-bal/,barely-true
101,Says Joe Biden repeatedly told Americans he's going to raise their taxes.,/factchecks/2020/oct/21/donald-trump/trump-campaign-ad-takes-biden-out-context-three-ti/,false
102,"“Hunter Biden was chairman of the World Food Program, which just won the Nobel Peace Prize. Eric Trump, Donald J Trump Jr, Ivanka Trump are banned from ever operating a charity again because they stole donations to children with cancer.""",/factchecks/2020/oct/21/left-action/fact-checking-claims-about-charities-linked-hunter/,false
103,Photo shows Joe Biden next to a man seen in a sex sting video.,/factchecks/2020/oct/21/facebook-posts/no-viral-photo-doesnt-show-biden-next-man-seen-sex/,pants-fire
104,“The boilermakers union has endorsed me because I sat down with them and went into great detail with leadership [about] exactly what I would do.”,/factchecks/2020/oct/21/joe-biden/no-boilermakers-union-didnt-endorse-joe-biden/,false
105,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",/factchecks/2020/oct/19/afscme/arizona-house-race-attack-ad-zeroes-prescription-d/,mostly-true
106,“Federal law requires people to speak English to be naturalized as American citizens.”,/factchecks/2020/oct/19/facebook-posts/foreign-nationals-pass-english-test-gain-american-/,mostly-true
107,A photo shows a massive crowd at a recent Florida rally for Donald Trump.,/factchecks/2020/oct/18/facebook-posts/photo-doesnt-show-trump-rally-florida-it-was-music/,false
108,Says Nancy Pelosi was photographed with the Manson Family.,/factchecks/2020/oct/18/facebook-posts/no-nancy-pelosi-was-not-photographed-charles-manso/,pants-fire
109,“BREAKING NEWS: All Charges Dropped for Kyle Rittenhouse.”,/factchecks/2020/oct/15/facebook-posts/no-its-not-true-all-charges-have-been-dropped-agai/,false
110,Says Joe Biden is a socialist.,/factchecks/2020/oct/15/donald-trump/trumps-false-claim-biden-socialist/,false
111,“We’re putting our great coal miners back to work.”,/factchecks/2020/oct/14/donald-trump/fact-checking-trumps-claim-pa-hes-putting-our-grea/,barely-true
112,"“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”",/factchecks/2020/oct/14/mike-pence/fact-checking-mike-pences-historical-hurricane-cla/,half-true
113,Says Joe Biden called for a jihad in a video.,/factchecks/2020/oct/13/gateway-pundit/no-us-government-didnt-promote-video-joe-biden-cal/,false
114,"During the debate, Kamala Harris said, “that’s a great segway to the next question,” suggesting she knew the next question.",/factchecks/2020/oct/12/facebook-posts/facebook-post-misattributes-debate-remarks-kamala-/,barely-true
115,"Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",/factchecks/2020/oct/11/donald-trump/trump-ad-takes-fauci-out-context/,barely-true
116,"""If Biden becomes president and cannot complete his term, Harris will become president, and Pelosi will become vice president.""",/factchecks/2020/oct/11/facebook-posts/if-president-biden-left-office-nancy-pelosi-would-/,false
117,"During the debate, Kamala Harris said President Donald Trump “did not appoint minorities to the courts.”",/factchecks/2020/oct/09/republican-party-florida/florida-gop-twists-debate-remarks-harris-trump-and/,false
118,"Says the U.S. House’s COVID-19 relief bill, advanced by Democrats, “strips states of their right to administer elections.”",/factchecks/2020/oct/09/glenn-grothman/us-rep-grothman-base-claim-covid-bill-strips-state/,false
119,Says Joe Biden is proposing a tax increase that’s “the largest in American history.”,/factchecks/2020/oct/08/preserve-america-pac/bidens-tax-proposal-isnt-largest-american-history/,false
120,"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",/factchecks/2020/oct/06/donald-trump/donald-trumps-false-claim-covid-19-less-deadly-flu/,false
121,Says Joe Biden stays in his basement.,/factchecks/2020/oct/04/jason-miller/biden-isnt-basement-trump-campaign-keeps-saying-so/,false
122,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,/factchecks/2020/oct/02/donald-trump/fact-check-why-barack-obama-failed-fill-over-100-j/,barely-true
123,Gas prices during the Obama-Biden administration were $5.49 a gallon.,/factchecks/2020/oct/02/viral-image/photo-shows-real-gas-prices-during-obama-biden-adm/,half-true
124,"“If you just count all the deaths in the red states, we are number two in the world in deaths, just behind Brazil.”",/factchecks/2020/oct/01/joe-biden/yes-coronavirus-deaths-red-states-add-second-highe/,mostly-true
125,"Says Joe Biden “passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.”",/factchecks/2020/oct/01/donald-trump/trumps-tax-defense-jumbles-details-overstates-bide/,half-true
126,"""Last week Joe Biden flashed the ‘white power’ sign. President Trump condemned white supremacists yesterday. Why hasn't Joe Biden?”",/factchecks/2020/oct/01/donald-trump/no-joe-biden-didnt-use-racist-hand-gesture-he-was-/,pants-fire
127,Poll watchers in Philadelphia “were thrown out.”,/factchecks/2020/oct/01/donald-trump/fact-checking-trumps-debate-comment-poll-watchers-/,false
128,“A federal judge just ordered Wisconsin must have all ballots counted by 8 p.m. on the day of the election.”,/factchecks/2020/sep/30/facebook-posts/no-votes-dont-have-be-counted-8-pm-nov-3/,pants-fire
129,"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",/factchecks/2020/sep/30/donald-trump/donald-trump-falsely-says-308000-military-people-d/,false
130,“Word on the street is that Joe Biden got tonight’s debate questions in advance.”,/factchecks/2020/sep/30/todd-starnes/todd-starnes-false-claim-joe-biden-got-debate-ques/,pants-fire
131,"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",/factchecks/2020/sep/28/republican-party-wisconsin/gop-claim-dems-omitted-god-pledge-dnc-misleads/,barely-true
132,"Like Al-Qaeda and ISIS, Amy Coney Barrett has said her “end goal is to end the separation of church and state & build a ‘Kingdom of God’ in the United States.”",/factchecks/2020/sep/27/instagram-posts/amy-coney-barretts-kingdom-god-comments-ripped-out/,false
133,"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",/factchecks/2020/sep/25/donald-trump/fact-checking-trumps-claim-biden-would-immediately/,false
134,"A U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky., and is linked to “a George Soros-funded initiative.”",/factchecks/2020/sep/24/facebook-posts/fact-checking-disinformation-about-louisville-u-ha/,barely-true
135,"""Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???""",/factchecks/2020/sep/23/facebook-posts/no-biden-doesnt-want-dissolve-stock-market/,barely-true
136,“24 of every 100 kids in school today speak Spanish.”,/factchecks/2020/sep/23/joe-biden/fact-checking-bidens-claim-about-number-students-w/,half-true
137,"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",/factchecks/2020/sep/22/william-barr/covid-19-rules-second-only-slavery-civil-liberties/,false
138,“The Trump campaign asked that I release the list (of potential Supreme Court nominees) only after (Ruth Bader Ginsburg) passed away.”,/factchecks/2020/sep/22/joe-biden/bidens-false-claim-about-when-trump-campaign-calle/,false
139,On confirming a Supreme Court justice nominee in a presidential election year.,/factchecks/2020/sep/21/lindsey-graham/sen-lindsey-graham-flip-flops-filling-supreme-cour/,full-flop
140,"""This Is Real: Biden Waves To An Empty Field.""",/factchecks/2020/sep/21/facebook-posts/no-biden-didnt-wave-empty-field-florida/,false
141,"""If the president had done his job, had done his job from the beginning, all the people would still be alive. All the people. I'm not making this up. Just look at the data.""",/factchecks/2020/sep/18/joe-biden/joe-biden-wrongly-claims-trump-couldve-prevented-e/,false
142,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,/factchecks/2020/sep/17/joe-biden/joe-biden-says-under-donald-trump-irans-uranium-st/,true
143,"""There are hit squads being trained all over this country” to violently oppose a second term for President Donald Trump.",/factchecks/2020/sep/17/michael-caputo/fact-checking-trump-health-aides-unproven-hit-squa/,false
144,Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,/factchecks/2020/sep/16/donald-trump/trump-retweets-manipulated-video-falsely-suggestin/,pants-fire
145,"Says a photo shows an ambushed Los Angeles police officer and that the NFL intends to “honor and praise the organization” that stood outside of the hospital chanting, “We hope she dies.”",/factchecks/2020/sep/14/facebook-posts/facebook-post-uses-fake-photo-ambushed-la-deputy-s/,false
146,"“In 1983, Joe Biden voted in favor of taxing 50% of Social Security” and in 1993, Biden “was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.”",/factchecks/2020/sep/14/facebook-posts/what-attack-about-bidens-votes-social-security-omi/,half-true
147,Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”,/factchecks/2020/sep/14/joe-biden/joe-bidens-offshoring-attack-donald-trump-needs-co/,half-true
148,"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",/factchecks/2020/sep/11/donald-trump/trumps-michigan-car-industry-claims-veer-course/,false
149,Says President Donald Trump “never downplayed the virus.”,/factchecks/2020/sep/09/kayleigh-mcenany/mcenany-says-trump-never-downplayed-virus-he-did-a/,pants-fire
150,Says Joe Biden “wants to put a 3% annual federal tax on your home.”,/factchecks/2020/sep/08/facebook-posts/no-joe-biden-doesnt-want-impose-federal-tax-homes/,false
151,Says “Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.”,/factchecks/2020/sep/08/facebook-posts/no-sen-kamala-harris-hasnt-been-convicted-felony/,pants-fire
152,"“It cost taxpayers $120,000 to fly Nancy (Pelosi) to get her hair done.”",/factchecks/2020/sep/04/facebook-posts/taxpayers-did-not-pay-120000-pelosis-hair-appointm/,false
153,"""If Trump gets his way, Social Security benefits will run out in just three years from now.”",/factchecks/2020/sep/04/joe-biden/joe-biden-says-donald-trumps-plan-get-rid-payroll-/,barely-true
